Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
"Tanar'ri, Lesser, Armanite",Abyss,Rare,Troop,Any,Carnivore,Average (8-10),"A,D,I",Chaotic evil,2d10,2,"18, Fl 18 (C)",5,15,2 and 1,2d6/2d6 and by weapon type,"Spark bolts, crushing hooves","Immune to poison, cold, and electricity",Nil,"L (10' tall, 6' at the haunches)",Champion (15-16),"2,000<br>Knecht: 7,000<br>Konsul: 14,000"
"Tanar'ri, Lesser, Uridezu",The Abyss and Prime Material Plane,Very Rare,Solitary,Any,Carnivore,Low (5-7),"Nil (B, Prime Material Plane)",Chaotic evil,1,0,18,7,13,3,1d8/1d8/2d6,"Paralysis, command rats","Never surprised, immune to sleep and cold-based spells, cold iron or magical weapons to hit",Nil,M (6' tall),Steady (11-12),"3,000"
"Tanar'ri, Lesser, Yochlol",The Abyss,Very rare,Group,Any,Carnivore,High (13-14),,Chaotic evil,45295,10 (4 as spider),"12, Wb 6 as spider",6+6,15,8 (1 as spider or humanoid),1d4+4 &times;8<br>1d8 as spider<br>By weapon +4 as humanoid,"Poison (spider), psionics",Struck only by +2 or better weapons,50%,M (6' tall),Champion (15-16),"11,000"
"Tanar'ri, True, Balor",The Abyss,Very rare,Solitary,Any,Carnivore,Supra-genius (19-20),H&times;3,Chaotic evil,1,-8,"15, Fl 36 (B)",13,7,"2 (sword, whip)",1d12/1d4 + special,"Terror, body flames, death throes, explosion",+3 or better weapons to hit,70%,L (12' tall),Fearless (19-20),"26,000"
"Tanar'ri, True, Marilith",The Abyss,Very rare,Solitary,Any,Carnivore,Genius (17- 18),"C,F",Chaotic evil,45293,-9,15,12,9,7,4d6 (tail) and six weapons,"Magical weapons, constriction","+2 or better weapons to hit, never surprised, spell immunity",70%,L (7' tall),Fanatic (17-18),"23,000"
Tarrasque,Any land,Unique,Solitary,See below,Omnivore,Animal (1),See below,Neutral,1,-3,"9, Rush 15",300 hp (approx. 70 HD),-5,6,1-12/1-12/2-24/5-50/1-10/1-10,"Sharpness bite, terror",See below,Nil,G (50' long),Champion (15),"107,000"
Tarsardar,Any,Very rare,Solitary,Any,Nil,As in life,Nil,Lawful neutral,1,6,Fl 14 (A),5+5,15,2,3d4/3d4,Item control,Immunities,66%,M (6' tall but amorphous),Fearless (20),"7,000"
Tasloi,Tropical/Jungles,Rare,Tribal,Night,Omnivore,Low to average (5-10),Q&times;5,Chaotic evil,10-100,5 (6),"9, Cl 15",1,19,2 or 1,1-3/1-3 or by weapon type,Surprise,Nil,Nil,S (2-3' tall),Average (10),Normal: 35<br>Chieftain: 270<br>Shaman: 420
Tatalla,Urban,Rare,Guild,Night,Carnivore,Average (8-10),"K,C",Lawful evil,45295,4,12,2+2,19,2,1-3/1-3 or by weapon,"Poison, backstab",Thieving skills,Nil,S (just over 2' tall),Unsteady (5-7),650<br>Guildmaster: 975
Tembo,Tablelands and mountains,Uncommon,Pack,Night,Carnivore,High (13-14),I,Chaotic evil,45297,4,15,4,17,5,1d4 (&times;2)/1d6 (&times;2)/1d8,"Psionics, level drain","Psionics, dodge missiles",10%,M (3-6' long),Fearless (20),"4,000"
Temporal Glider,Demiplane of Time,Uncommon,Solitary,Any,Special (see below),Average (8),Nil,Neutral,1,-2,15,6 to 10,6 HD: 15<br>7-8 HD: 13<br>9-10 HD: 11,1,5d4,Nil,Half damage from nonmagical weapons,20%,L to H (12-18' long),Average (10),"4,000-10,000"
Temporal Stalker,Demiplane of Time,Rare,Solitarv or small groups,Any,Special (see below),Genius (18),Nil,Neutral evil,45295,3,18,4+2,15,1,1d6,Level drain; special,Hit only by +1 or better magical weapons,20%,M (6' tall),Average (10),"1,750"
Tentamort,Any subterranean,Rare,Nest,Any,Carnivore,Non- (0),Nil,Neutral,45301,3 (tentacles)/1 (body),1,"2 each tentacle, 4 body",17,2,6-Jan,See below,Nil,Nil,S (but tentacles 10' long),Average (8-10),650
Tether Beast,Demiplane of Time,Rare,Family,Any,Omnivorous,Very (11),I,Neutral evil,45294,0,12,10+2,11,"5 (four claws, one bite)",2d6/2d6/2d6/2d6/2d4,Breath weapon,Hit only by +1 or better magical weapon,25%,H (20' long),Average (10),"15,000"
Thanoi,"Arctic/Plain, hill, and mountain",Uncommon,Tribe,Day,Carnivore,Low (5-7),M (C),Lawful evil,45311,4,"9, Sw 15",4,17,2 or 1,1-8/1-8 (tusks) or by weapon (+2 bonus to damage),Nil,Immune to cold,Nil,L (8' tall),Elite (13),120
The Abomination of Diirinka,Subterranean,Unique,Solitary,Any,"Life energy, minerals",Not Ratable,Nil,Chaotic Evil,1,-3,"9, Br 9",20 (140 hit points),1,6,2d4+4/2d4+4/2d4+4/ 1d3/ 1d3/ 1d3,"Rend, energy drain, surprise","Immmunities, regeneration, spell turning",30%,H (12' tall),Fearless (19-20),"22,000"
Thought Eater,Ethereal Plane,Rare,Solitary,Any,Mental energy,Not ratable,Nil,Neutral,45294,9,6 (ethereal plane only),3,0,0,Nil,"Psionics, absorb: psionics, spells, and intelligence",Ethereal existence,Absorb (See below),S (3' long),Unsteady (5-7),"1,400"
Thri-kreen,Any land (Temperate or tropical arid land),Uncommon,Clutch and pack,Constant,Carnivore,Average to high (8-14),Varies,Chaotic neutral,2d12,5,18,6+3,13,5 or 2,"1d4 (&times;4)/1d4+1, or 1d4+1 and by weapon",Paralyzation,Missile dodge,Nil,L (11' long),Fanatic (17-18),"1,400"
Thylacine,Rocky or wooded regions,Rare,Solitary,Any,Carnivore,Average (8-10),Nil,Neutral,1 (see below),5,15,4 +4,15,3,1-4/1-4/2-8,Pounce,+2 bonus to its surprise roll,See below,L (8'),Elite (13-14),650
"Tick, Heart",Temperate to tropical urban and subterranean,Very rare,Solitary,Night,Blood,Non- (0),Nil,Neutral,1d4,5,"6, leap 21",1,20,4 or 1,1d2 (&times;4) or 1 point per round,Egg laying,Nil,Nil,T (6&rdquo; diameter),Average (8-10),65
Tirichik,Arctic (Great Glacier),Very rare,Solitary,Any,Carnivore,Semi- (2-4),Nil,Chaotic evil,1,1,"12, Br 3",13,7,1 or 2,3-24 (3d8) or 1-8/1-8,See below,See below,See below,G (30' long),Champion (16),"5,000"
Titan,Olympus,Uncommon,Group,Any,Omnivore,Supra-genius to godlike (19-21+),"E,Q&times;10,R",Chaotic good,45301,0,36,20,5,2,7-42 (7d6) weapon +14 (strength bonus),See below,See below,50%,G (25'+ tall),Fearless (19-20),"21,000 (see below)"
Tomb Tapper,Anv subterranean,Very rare,Clan,Any,See below,High (13-14),Q&times;4 (speciai),Lawful neutral,45303,-2,"9, Br 14",8+8,13,3 or 1,4d6/4d6/1d12+9 or 1d12+6,See below,See below,Nil,H (15-21' tall),Elite (16),"8,000"
Tomb Warden,Dwarven delvings,Very Rare,Solitary,Any,,Non- (0),Nil,Neutral,1,5,6 (but see below),11 (50 hit points) per section,9,1 per 5-foot ection and see below,2d8,Ignores magical defenses,Immune to most spells and weapons,Nil,M (each section is 5' square),Fearless (19-20),"6,000 + 1,000 per section"
Totem Spirit,Same as animal type,Uncommon,,Any,Sacrifices,15,,Neutral,1,5,18,10,11,2,As per animal type (see the MONSTROUS MANUAL for details); 3d6 or by weapon (in human form),"May control the actions of animals of their own species, regardless of range, and any other animals within 10 yards.",+3 or better to hit,5%,M,Elite (13-14),"3,000"
Treant,Any forest,Rare,Grove,Any,Photosynthesis,Very (11-12),"Q&times;5,X",Chaotic good,45311,0,12,12-Jul,7-8 HD: 13<br>9-10 HD: 11<br>11-12 HD: 9,2,Variable,See below,Never surprised,Nil,H (13-18'),Champion (15-16),"7HD: 2,000 (+1000 per Hit Die)"
"Tree, Dark","Jungle, tropical",Rare,Grove,Nocturnal,Special,Low (5-7),Incidental,Neutral Evil,45295,0,3,10,11,2 or 1,3-18/3-18 or 4-24,See below,See below,Nil,H (12-15'),Champion (15-16),"4,000"
"Tree, Singing",Temperate or tropical forest,Very rare,Solitary,Day,Blood,Animal (1),See below,Neutral,1,7,0,12+4,7,1-100,1,Singing,Singing,25%,L (10-20' tall),Fearless (20),"10,000"
Tren,Damp subterranean,Rare,Clan,Any,Carnivore,Average (8-10),"A,D",Chaotic evil,29495,4,"12, Sw 9",3+3,17,3 or 1,1-3/1-3/2-7 or by weapon,See below,See below,Nil,M (6-7' tall),Elite (14),175
Tressym,Any temperate land,Very rare,Solitary,Any,Carnivore,Very (11-12),Nil,Chaotic neutral,1 (1-4),6,"6, Fl 16 (A)",2,17,3,1-2/1-2/1-4,Nil,Immune to poison,40%,"T (2' long, 3' wingspan)",Elite (14),270
Triton,Any sea,Rare,Community,Day,Omnivore,High and up (13+),"M,Q (C,S,T)",Neutral (good),22068,5,Sw 15,3,17,1,By weapon,See below,See below,90%,M (7' tall),Elite (13),"Normal: 270<br>Exceptional (4-6 HD): 650<br>Exceptional (7-8 HD): 2,000<br>Mage: 2,000 +1,000 per level over 7th<br>Priest: 2,000 +1,000 per level over 7th<br>Triton leader: 4,000"
Troglodyte,Subterranean and mountains,Common,Clan,Any,Carnivore,Low (5-7),A,Chaotic evil,10-100,5,12,2,19,3 or 1,1-2/1-2/2-5 or 2-8 weapon,See below,See below,Nil,M (6' tall),Steady (11),Normal: 120<br>Guard: 175<br>Subchieftain: 270<br>Chieftain: 650
Troll Mutate,Far Realm Gate,Rare,Group,Night,Carnivore,Low (5-7),Nil (D),Chaotic evil,45398,4,12,3+3,17,"4 (3&times;claw, bite)",1d4+1 (&times;3)/1d8+1,Severed limbs attack,Regeneration,Nil,L (8' tall),Elite (14),"1,000"
"Troll, Snow",Any arctic or subarctic land,Rare,Solitary/pair,Night,Carnivore,Low (5-7),Nil,Chaotic evil,45293,4,9,7,13,2,1d8+2 (&times;2),See below,"Regeneration, resist cold",Nil,L (8' tall),Elite (13-14),"1,400"
Tuyewera,Tropical land,Uncommon,Band,Any,,Average (8-10),Nil,Any evil,1d3,8,6,6,15,1,1d4 or by weapon,"<i>Steal breath</i>, <i>cause disease</i>",See below,Nil,M (6' tall),Special,975
Tylor,Any,Rare,Solitary or Clan,Any,Carnivore,Very (11-12),Nil,Varies,45299,Varies,15,Varies,Varies,2,1-10/1-20 (tail/bite),Nil,Special,5%,Varies,Fanatic (16 base),Varies
Tyrg,Any/Mountains or hilly forests,Rare,Pack,Any,Carnivore,Low (5-7),C,Chaotic neutral,45301,5,18,8-May,5-6 HD: 15<br>7-8 HD: 13,1,12-Jan,"Stunning howl, paw rake",Nil,Nil,L (6-9' long),Elite (13-14),5 HD: 270<br>6 HD: 420<br>7 HD: 650<br>8 HD: 975
Ulitharid,Any subterranean,Very rare,Community,Any,Brain tissue,Supra-genius (19-20),"S,T,Z (D)",Lawful evil,1,3,12,11+8,9,6,Special,"Spells, mind blast",Spells,95%,L (7½' tall),Champion (15-16),"11,000"
Umber Hulk,Subterranean,Rare,Solitary,Any,Carnivore,Average (8-10),G,Chaotic evil,45295,2,"6, Br 1-6",8+8,11,3,3-12/3-12/1-10,See below,Nil,Nil,"L (8' tall, 5' wide)",Elite (13),"4,000"
Umpleby,Temperate forest,Very rare,Solitary,Day,Herbivore,"Low (5-7, but see below)",Special,Neutral,45294,4,9,6,15,1,1d4,"Electrical shock, nets",Immune to electrical attacks,Nil,L (8' tall),Elite (14),420
Undead Dragon Slayer,Any (Io's Blood islands),Very rare,Solitary,Any,,High to genius (13-18),Nil,Varies,1 or 1-4,"0 (-1, -2, or -3 vs. dragons)",12,"9, 10, or 11 (10-sided dice)","11, 10, or 9",2-Mar,By weapon,See below,See below,60%,M (6-7' tall),Fearless (19),"7,000"
Undead Dwarf,Subterranean,Very rare,Clan,Special,,Average (8-10),U,Neutral,2d4,6,9,3+12,17,1,1d4,<i>Phase door</i>,+2 weapon to hit,25%,M (4-5' tall),Elite (13-14),"1,400"
Undead Lake Monster,Deep lakes,Very rare,Solitary,Any,Carnivore,Very (11-12),B,Chaotic evil,1,-3,Sw 12,13,7,1,3d8,"Breath weapon, entrapment, surprise strike","+1 weapon to hit, fear",20%,G (100' long),Champion (15-16),"10,000"
Unicorn,Temperate sylvan woodlands,Rare,Family,Day,Herbivore,Average (8-10),X,Chaotic good,45297,2,24,4+4,15,3,1-6/1-6/1-12,Charge,See below,Nil,L,Elite (14),650
"Unicorn, Black (Toril)","Forests, plains",Very rare,Solitary,Night,Carnivore,High (13-14),Nil,Chaotic evil,45295,3,24,4+4,15,4,1d6/1d6/1d4/1d12,"Charge, <i>cause light wounds</i>",Teleport,Nil,L,Elite (14),975
Urd,Temperate to tropical/Hills and mountains,Rare,Gens,Night,Omnivore,Low (5-7),J (Q&times;5),Neutral evil,3-300,8,"6, Fl 15 (C)",5-Jan,2 HD: 19<br>3-4 HD: 17<br>5 HD: 15,1,1-3 or 1-4 (weapon),Rock Bomb,Nil,Nil,S (3' tall),Unsteady (7),2 HD: 35<br>3 HD: 65<br>4 HD: 120<br>5 HD: 175
Ur-Histachii,Tropical jungles or subterranean areas beneath tropical regions,Very rare,Band,Night,,Semi- (2-4),Nil,Chaotic evil,2d8,6,9,4+2,17,3,1d4/1d4/1d3,Berserker rage,"Immune to hold, charm, sleep, and cold-based spells, death magic, and poison",Nil,M (5-6 feet tall),Fearless (19-20),420
Urophion,Subterranean,Rare,Solitary,Any,Brains,Genius (17-18),Nil,Lawful evil,45294,0,3,12,9,6,6-Mar,"Tendrils, psionics","Ignore lightning, ½ damage from cold, -4 penalty to saves vs. fire",45%,L (9' tall),Fearless (20),"9,000"
Ursoi,Temperate to Arctic/Subterranean,Uncommon,Tribal,Day,Omnivore,Low (5-7),20% chance Q per creature,Lawful neutral,45299,6,9,5,15,3 (1 with weapon),"2-16/1-6/1-6, or by weapon type",Hug,Nil,Nil,L (9' tall),Champion (16),775
Vaath,Carceri,Common,Pack,Night,Carnivore,Average (8-10),Nil (A),Neutral evil,1 (24 in Carceri),3,15,4+2,17,2,1d8/1d4,"Poison, burrowing tentacle",Nil,Nil,L (8' long),Steady (11-12),975
Vaati,Any,Very rare,Collective or Solitary,Any,Omnivore,Exceptional to Genius (15-18),"A (A,W)",Lawful neutral,1d4,5 (per caste and level),"12, Fl 12 (A)",4 (per caste and level),17 (per caste and level),1 (per caste and level),By weapon + Strength bonus,See below,See below,Nil,M (7' tall),Elite to Fearless (13-20),"2,000 + 1,000 per level beyond 4th"
Vagabond,As host,Very rare,Solitary,As host,As host,Genius to Supra-genius (17-20),As host + special,Neutral (any),1,As host,As host,As host,As host,As hosl,As host,As bost. psionics,As host psiorucs,As host immune to mental spells,As host,Steady (11-12),As host + 4 Hit Dice
Vampire,,,,,,,,,,,,,,,,,,,,,
"Vampire, Cerebral",Dominia,Uncommon,Varies,Day,Cerebral fluids,Very (11-12),Varies,Chaotic evil,1-4 (1d4),1,"12, Fl 18 (A)",8+3,11 (+1 for Strength),1,1d6 (+3 for Strength),See below,See below,Nil,M (6' tall),Champion (15-16),"8,000"
Varkha,Subterranean (Underdark),Uncommon,Tribal,Any,Carnivore,Average (8-10),"J,M (D)",Lawful evil,5-50 (75-150),6,"12, Sw 9",1,19,2 (or 1 weapon),1d6/1d6 or by weapon,Nil,Nil,Nil,M (4-5' tall),Average (8-10),35
"Vine, Infinity",Wildspace,Very rare,Single plant,Any,Air (gases and moisture),Non- (0),See below,Neutral,1,10,See below,See below,0,0,Nil,Engulfs,Regrowth,25%,Any,Nil,50
Viper Tree,"Abyss, Carceri, Gray Wastes",Rare,Solitary,Any,Omnivore,Semi to low (2-7),"L,M,O (R,W)",Chaotic evil or neutral evil,1d20,7,"0, 15 in larval form",9-Feb,2 HD: 19<br>3-4 HD: 17<br>5-6 HD: 15<br>7-8 HD: 13<br>9 HD: 11,1 per HD,2d6,Venom,"Spells, immunities",15%,L-H (5-50' tall),Steady (11-12),"2 HD: 420<br>3 HD: 975<br>4 HD: 2,000<br>5 HD: 3,000<br>6 HD: 4,000<br>7 HD: 5,000<br>8 HD: 6,000<br>9 HD: 7,000"
Vizier's Turban,Any land,Very rare,Solitary,Any,Special (see below),Genius (17-18),Nil,Any,1,See below,3,See below,0,0,Nil,Nil,See below,See below,S (2-4' long),Elite (13-14),"2,000"
Voor Larva,Truespace nebulae,Rare,Hive,Any,Omnivore,Low (5-7),Nil,Neutral evil,1d10,-4,16,12,9,5,1d6&times;4/2d6 + special,"Poison, trill","Immune to psionic influence, regeneration",25%,L (8' long),Fearless (20),"8,000"
Vortex Spider,Demiplane of Time,Uncommon,Solitary,Any,Carnivore,Average (8),Nil (E),Neutral,45295,4,9 (15 in web),7+4,13,1,2d4,"Poison, web",Chameleon ability in web,15%,Large (12' long),Average (10),"2,700"
Wall Walker,Subterranean,Uncommon,Hive,Any,Carnivore,Low (5-7),B,Lawful evil,45293,3,"9, Cl 12",6,14,3,2-12/2-12/2-8,"Psionics, paralyzation","Psionics, immune to fire",Nil,M (5' long),Elite (13-14),"1,500"
Watchghost,Any land,Rare,Solitary or guard-groups,Any,,As in life (8-18),Any possible (guardian),"Any lawful, see below",45295,1,"9, Fl 9 (C)",7+2,13,1,16-Feb,Chill ray,"Insubstantial, pass through stone",25%,M (6' tall),Fearless (19-20),"4,000"
Watchspider,Any temperate,Rare; Uncommon (in Waterdeep),As trained and deployed,Any,Carnivore,Low (5-7),Any possible (guardian),Lawful neutral,45299,6,18,2+2,19,1,6-Jan,Poison (see below),Nil,Nil,M (6' in diameter),Fanatic (17),420
Water Leaper,Temperate lakes,Very rare,Pack,Day,Carnivore,Semi- (2-4),Nil,Neutral (evil),4d6,8,Sw 12,1-Jan,20,1,1d4,"Shriek, Leap",Nil,Nil,S (3' long),Average (10),65
"Weapon, Living",Any/Subterranean,Rare,Solitary,Any,Blood,Low (5-7),,Chaotic evil,1,-1,Fl 18,6,15,2,By weapon +4,,+1 or better weapon to hit,20%,M (' long),Elite (13-14),"2,000"
Webbird,Temperate and subtropical forests and caves,Very rare,Flock,Day,Carnivore,Semi- (2-4),Nil,Neutral,17868,8,"3, Fl 18 (B)",½,20,1,1,"Webs, egg insertion",Nil,Nil,"S (5&rdquo; long, 1' wingspan)",Unsteady (5-7),65
Wemic,Temperate plains,Very rare,Prides,Day,Carnivore,Average (8-10),B,Neutral,45338,"Males 6 (5), females 7",12,5+8,15,2 or 3,1-4/1-4 and weapon,Nil,-2 initiative modifier,Nil,L (7'),Steady (11-12),Normal: 270<br>Chief/Chieftain: 420<br>Witch Doctor/King: 975
Weredragon,"Any land, usually urban",Very rare,Solitary,Any,Special,Exceptional (15-16),Special,"Chaotic, neutral or good",1,1 (base),"9, Fl 30 (C), Jp 3",13 (base),9,3 (Human: 1),1d6/1d6/4d6 (Human: By weapon),Special,Varies,Varies,M (human) or H (24' base),Fanatic (17 base),Varies
Whipsting,"Rocky, subterranean",Uncommon,Solitary or small pack,Any,"Carnivore, scavenger",Varies (1-12),Nil,Neutral,1d6,7,"9, Fl 9 (D)",1+4,19 (15 if springing),3,1-2/1 &times;2,Venom,Nil,Nil,S-L (tentacles 5-20' long),Steady (11-12),175
"White Stag, The",Forest (Evermeet),Unique,Solitary,Day,Herbivore,High (14),Nil,Chaotic good,1,5,36,6 (48 hp),14,3,2-8/1-4/1-4,Nil,Mislead,10%,L,Fearless (20),650
Wichtlin,Any,Very rare,Solitary,Any,,Semi- (2-4),Nil,Chaotic evil,1,2,9,4+4,15,2,See below,See below,+1 or better weapon to hit,See below,M (5' tall),Steady (12),"1,400"
Wight,Any land,Uncommon,Solitary,Night,See below,Average (8-10),B,Lawful evil,2-16 (2d8),5,12,4+3,15,1,4-Jan,Energy drain,Hit only by silver or +1 or better magical weapon,See below,M (4-7'),Elite (14),"1,400"
Will O'Wisp,Any swamp,Uncommon,Solitary,Night,See below,Exceptional (15-16),Z,Chaotic evil,1 or 1-3,-8,Fl 18 (A),9,11,1,16-Feb,See below,See below,See below,S (2-4'),Fanatic (17),"3,000"
Windghost,Any (airborne),Very rare,Servant group,Any,Omnivore,Exceptional (15-16),Nil,Lawful neutral,1d12,-2,Fl 18 (B),9+9,11,1 + special,3d4,"<i>Windsong</i>, swoop, swallow whole",<i>Warp dweomer</i>,45%,"H (conical 8' diameter, tapering to 24' long)",Fearless (19-20),"12,000"
Wizshade,Any,Rare,Solitary,Any,Magic and phlogiston,Supra-genius (19-20),Nil,Chaotic neutral,1 (occasionally 1d4),0,"12, Fl 24 (C)",10,0,0,Nil,Random wizard spellcasting,Immune to normal weapons; spells successfully cast at a wizshade have a special effect and do no normal damage; successful magic resistance against a spell has special results,25%,M (usually 5-6' tall),Champion (15),"13,000"
"Wolf, Dread",Any land,Very rare,Pack or special,Any,,Average (8-10),Nil,Neutral evil,3d4,6,18,4+4,15,1,1d10,Disease,"Regeneration, immunity and resistance to spells",Nil,S (2-4' long),Fanatic (17-18),650
"Wolf, Mist",Subartic and temperate/Non-desert,Very rare,Pack,Night,Carnivore,Average (8-10),Nil,Lawful good,45342,6,18,3+3,17,1,2-6 (bite),Nil,Breath weapon,10%,M (4' at the shoulder),Elite (13-14),175
"Wolf, Stone",Any land,Very rare,Solitary,Any,,Animal (1),Nil,Neutral,1d4,0,9,5+4,15,1,2d4,"Initiative bonus, pounce",Resistance and immunity to certain spells and weapons,Nil,S (5-6' long),Fearless (19-20),"1,400"
"Wolf, Vampiric",Any land,Very rare,Pack,Night,Blood,Low (5-7),Nil,Any evil,3d6,2,24,6+4,13,1,3d4,"Cause falling, grasping bite, high initiative","Regeneration, immunity to certain spells and weapons",Nil,S (2-3½' long),Elite (13-14),"2,000"
Wolfwere,Any forest,Rare,Solitary,Any,Carnivore,High to exceptional (13-16),"B,50% of S,T",Chaotic evil,45294,3,15,5+1,15,1 or 2,2-12 and weapon,Singing brings on lethargy,Iron or +1 or better weapon to hit,10%,M (4-7'),Elite (14),"1,400"
"Worm, Lukhorn",Underdark,Very rare,Solitary,Any,Carnivore,Semi- (2-4),Incidental,Neutral,1,3 (5 interior),"9, Br 9",10,11,1,Special,"Digestive acid, sonic screech","Camouflage, see below",Nil,"H (15' diameter, 200' long)",Average (8-10),"3,000"
Wraith,Any,Uncommon,Pack,Night,Special,Very (11-12),E,Lawful evil,2-12 (2d6),4,"12, Fl 24 (B)",5+3,15,1,6-Jan,Energy drain,Hit only by silver or +1 or better magical weapon,Nil,M (6' tall),Champion (15),"2,000"
"Wraith, Desert",Subtropical/Desert,Rare,Solitary or Group,Night,Life energy,Low (5-7),Nil,Chaotic evil,45294,4,9 (18 in jackal form),6+3,13,1,1-4 (in human form) or 1-6 (in jackal form),Energy drain,+1 or better weapon to hit,30%,M,Elite (13-14),"2,000"
"Wraith, Shimmering",Any,Summoned only by curse,Special,Any,,Non- (0),Nil,Neutral,"1 the first day, 2 the second, 4 the third, 16 the fourth, 256 the fifth, on the sixth day and onward, attacks are nonstop",4,12,4,17,1,1d6,<i>Shadow chill</i>,"Unaffected by cold, electricity, priestly turning attempts, or <i>dispel magic</i>",Nil,M (5-6' tall),Special,Special
Wraith-Spider,Any,Rare,Pack,Night,Special,Average (8-10),Incidental,Lawful evil,45369,5,"15, Wb 18",3+2,17,1,1d4,"Energy drain, poison",Silver or +1 or better weapons to hit,15%,M (4' diameter),Champion (15),"1,400"
Wryback,Any,Rare,Pack,Night,Omnivore,Low (5-7),"O,P,Q",Chaotic evil,45329,5,15,3,17,2,1-3/1-3,See below,See below,See below,S (3' tall),Average (10),175
Wyndlass,Temperate/Forest and swamp,Very rare,Solitary,Any,Carnivore,Low (5-7),Z,Neutral,1,3,3,12,9,11,1-10 &times;10/1-4,Surprise,Nil,Nil,H (20' long),Champion (15-16),"5,000"
Wyste,Far Realms gate,Very rare,School,Any,Carnivore,Non- (0),Nil,Neutral evil,45330,2,"3, Sw 15",5+5,15,4,1d4+1 &times;4,Drowning,Nil,Nil,H (25' long),Steady (12),975
Wyvern,Temperate mountain forests and jungles,Uncommon,Solitary,Dusk and dawn,Carnivore,Low (5-7),E,Neutral (evil),45297,3,"6, Fl 24 (E)",7+7,13,2,2-16/1-6,Poison,Nil,Nil,G (35' long),Elite (14),"1,400"
Wyvern Drake,Temperate mountains and forests,Very rare,Solitary,Dusk and dawn,Carnivore,Average (8-10),Nil (E),"Black, Red, White, Yellow: CE<br>Blue, Green: LE<br>Brown: NE",1d3,Black: 1; Blue: 0; Brown: 2; Green: 0; Red: -3; Shadow: -4; White: 1; Yellow: 0,"6, Fl 24 (E)",8+7,11,2,2d10/1d8 (bite/stinger),"Breath weapon, poison; surprise, bombing","Immune to breath weapon of dragon parent and like attacks (spells, etc.)",Nil,G (45' long),Elite (13-14),"Black 9,000<br>Blue 10,000<br>Brown 9,000<br>Green 10,000<br>Red 10,000<br>Shadow 10,000<br>White 9,000<br>Yellow 10,000"
Xantravar,"Swamps, sea coasts",Rare,Solitary or hunting groups,Any,Blood,Low (5-7),Nil,Neutral evil,1 or 1d4,6,"Fl 15 (A), Sw 12",3+3,17,2,1d4 &times;2,"Poison, blood drain",Spell immunities,Nil,L (see below),Elite (13-14),975
